"Reference","Qty","Value","Manufacturer","MPN","Supplier","SPN","Alt Supplier","Alt SPN","LCSC PN","DNP"
"BT201","1","18650_Cell","Keystone","1043P","","","","","C3029535",""
"BZ301","1","Buzzer","Murata","PKMCS0909E4000-R1","","","","","C910763",""
"C201,C202,C205","3","4.7uF","Samsung","CL05A475MP5NRNC","","","","","C23733",""
"C203,C303,C304,C305,C309,C401","6","100nF","Samsung","CL05B104KO5NNNC","","","","","C1525",""
"C204","1","10uF","Samsung","CL05A106MQ5NUNC","","","","","C15525",""
"C301","1","1uF","Samsung","CL10A105KB8NNNC","","","","","C15849",""
"C302","1","10nF","Samsung","CL05B103KB5NNNC","","","","","C15195",""
"C306","1","4.7uF","Samsung","CL21A475KAQNNNE","","","","","C1779",""
"C307,C308","2","20pF","Samsung","CL10C200JB8NNNC","","","","","C1648",""
"C402,C406,C407","3","100pF","Yageo","CC0402JRNPO9BN101","","","","","C106200",""
"C403","1","10nF","Yageo","CC0805KRX7R9BB103","","","","","C83170",""
"C404","1","33pF","Yageo","CC0402JRNPO9BN330","","","","","C107005",""
"C405","1","47nF","Yageo","CC0603KRX7R9BB473","","","","","C107093",""
"C501,C502","2","1uF 16V X5R","Yageo","CC0402KRX5R7BB105","","","","","C325464",""
"C503,C504","2","1uF 16V","Yageo","CC0402KRX5R7BB105","","","","","C325464",""
"C505","1","4.7uF 16V X7R","Yageo","CC0805KKX7R7BB475","","","","","C277499",""
"C506","1","2.2uF 16V","Samsung","CL10A225KO8NNNC","","","","","C23630",""
"D201","1","LED Red","Dialight","5973008207F","","","","","C6095189",""
"D202","1","LED Green","Dialight","5973308207F","","","","","C7188877",""
"FL401","1","~","Qualcomm","B39921B3728U410","","","","","C2650953",""
"H101,H102,H103,H104","4","MountingHole","","","","","","","",""
"J201","1","USBC","Global Connector Technology","USB4110-GF-A","","","","","C5143397",""
"J301","1","SWD","","","","","","","","DNP"
"J401","1","Ant","Cinch Connectivity Solutions Johnson","142-0701-801","DigiKey","J502-ND","","","","DNP"
"J501","1","FFC_Hirose_FH12-30S-0.5SH_55_","Hirose","FH12-30S-0.5SH(55)","","","","","C506793",""
"L201","1","2.2uH","Murata","DFE201612E-2R2M=P2","","","","","C337893",""
"Q501","1","PMOS","OnSemi","FDN338P","","","","","C24855",""
"Q502","1","NMOS","OnSemi","FDN335N","","","","","C241804",""
"R201,R202","2","5.1kΩ","UNI-ROYAL","0603WAF5101T5E","","","","","C23186",""
"R203","1","590Ω","Yageo","AC0603FR-07590RL","","","","","C227973",""
"R204","1","2.94kΩ","Yageo","RT0402BRD072K94L","","","","","C852709",""
"R205","1","10kΩ","UNI-ROYAL","0402WGJ0103TCE","","","","","C25531",""
"R206","1","1.1kΩ","Yageo","RT0603BRE071K1L","","","","","C705821",""
"R207,R208","2","270Ω","UNI-ROYAL","0805W8F2700T5E","","","","","C17590",""
"R209","1","267kΩ","Yageo","RT1206BRD07267KL","","","","","C870591",""
"R301","1","0Ω","UNI-ROYAL","0402WGF0000TCE","","","","","C17168",""
"R302","1","390Ω","Yageo","RC0402FR-07390RL","","","","","C137997",""
"R304,R305","2","4.7kΩ","UNI-ROYAL","0603WAF4701T5E","","","","","C23162",""
"R306","1","47Ω","UNI-ROYAL","0603WAF470JT5E","","","","","C23182",""
"R401","1","18kΩ","UNI-ROYAL","0603WAF1802T5E","","","","","C25810",""
"R501,R502","2","47kΩ","UNI-ROYAL","0603WAF4702T5E","","","","","C25819",""
"R503,R504","2","4.7kΩ","UNI-ROYAL","0805W8F4701T5E","","","","","C17673",""
"R505","1","910kΩ","Yageo","RE0402BRE07910KL","","","","","C3921007",""
"SW301","1","Reset","TE Connectivity","FSM6JSMA","","","","","C178262",""
"TP201,TP202,TP203","3","+Batt","","","","","","","",""
"U201","1","BQ24074RGTRG4","Texas Instruments","BQ24074RGTR","","","","","C54313",""
"U202","1","MAX17048G+T10","Analog Devices","MAX17048G+T10","","","","","C2682616",""
"U203","1","TPS62840DLCR","Texas Instruments","TPS62840DLCR","","","","","C2071859",""
"U301","1","STM32L053R8T6","ST Microelectronics","STM32L053R8T6","","","","","C79207",""
"U401","1","AD8317ACPZ-R7","Analog Devices","AD8317ACPZ-R7","","","","","C578693",""
"Y301","1","Crystal","ECS","ECS-80-12-30Q-DS-TR","","","","","C2450805",""
