Designator,Footprint,Quantity,Value,LCSC Part #
BT201,BatteryHolder_Keystone_1043P,1,18650_Cell,C3029535
BZ301,Buzzer_Murata_PKMCS0909E4000R1,1,Buzzer,C910763
"C201, C202, C205",0402,3,4.7uF,C23733
"C203, C303, C304, C305, C309, C401",0402,6,100nF,C1525
C204,0402,1,10uF,C15525
C301,0603,1,1uF,C15849
C302,0402,1,10nF,C15195
C306,0805,1,4.7uF,C1779
"C307, C308",0603,2,20pF,C1648
"C402, C406, C407",0402,3,100pF,C106200
C403,0805,1,10nF,C83170
C404,0402,1,33pF,C107005
C405,0603,1,47nF,C107093
"C501, C502",0402,2,1uF 16V X5R,C325464
"C503, C504",0402,2,1uF 16V,C325464
C505,0805,1,4.7uF 16V X7R,C277499
C506,0603,1,2.2uF 16V,C23630
D201,LED_Dialight_5973308207F,1,LED Red,C6095189
D202,LED_Dialight_5973308207F,1,LED Green,C7188877
FL401,BPF_Qualcomm_B39921B3728U410,1,~,
J201,Connector_GCT_USB4110GFA,1,USBC,C5143397
J501,FFC_Hirose_FH12-30S-0.5SH_55__HIROSE_FH12-30S-0.5SH_55_,1,FFC_Hirose_FH12-30S-0.5SH_55_,C506793
L201,Inductor_Murata_1286ASH1R0MP2,1,2.2uH,C337893
Q501,SOT-23_Handsoldering,1,PMOS,C24855
Q502,SOT-23_Handsoldering,1,NMOS,C24855
"R201, R202",0603,2,5.1kΩ,C23186
R203,0603,1,590Ω,C227973
R204,0402,1,2.94kΩ,C852709
R205,0402,1,10kΩ,C25531
R206,0603,1,1.1kΩ,C705821
"R207, R208",0805,2,270Ω,C17590
R209,1206,1,267kΩ,C870591
R301,0402,1,0Ω,C17168
R302,0402,1,390Ω,C137997
"R304, R305",0603,2,4.7kΩ,C23162
R306,0603,1,47Ω,C23182
R401,0603,1,18kΩ,C25810
"R501, R502",0603,2,47kΩ,C25819
"R503, R504",0805,2,4.7kΩ,C17673
R505,0402,1,910kΩ,C3921007
SW301,Button_TE_FSM6JSMATR,1,Reset,C178262
"TP201, TP202",TestPoint_Pad_D1.0mm,2,+Batt,C5199900
TP203,TestPoint_Pad_D1.0mm,1,+Batt, C238122
U201,PowerPath_TI_QFN50P300X300X100-17N-D,1,BQ24074RGTRG4,
U202,FuelGauge_AD_SON50P200X200X80-9N-D,1,MAX17048G+T10,C2682616
U203,Buck_TI_SON50P150X200X100-8N-D,1,TPS62840DLCR,C2071859
U301,MCU_STM_QFP50P1200X1200X160-64N,1,STM32L053R8T6,C79207
U401,RssiDet_AnalogDevices_SON50P200X300X80-9N-D,1,AD8317ACPZ-R7,
Y301,Crystal_ECS_ECS801230QDSTR,1,Crystal,C2450805
