Designator,Mid X,Mid Y,Rotation,Layer
BT201,99.394654,-38.321265,180.0,bottom
BZ301,106.490392,-31.682296,0.0,top
C201,119.290592,-39.204696,90.0,top
C202,112.662592,-39.048296,90.0,top
C203,127.425091,-40.343696,90.0,top
C204,107.373144,-44.052504,0.0,top
C205,109.487592,-42.020096,270.0,top
C301,85.357592,-41.816896,45.0,top
C302,83.376392,-43.798096,45.0,top
C303,79.646419,-32.018905,135.0,top
C304,80.408419,-31.256905,135.0,top
C305,84.493992,-36.355896,135.0,top
C306,65.875792,-47.735096,0.0,top
C307,84.392392,-46.617496,270.0,top
C308,92.164792,-46.541296,270.0,top
C309,100.318192,-32.088696,90.0,top
C401,61.049792,-36.406696,0.0,top
C402,61.330292,-35.060496,180.0,top
C403,61.557792,-42.172496,180.0,top
C404,54.064792,-38.337096,180.0,top
C405,57.366792,-36.355896,180.0,top
C406,57.671592,-34.984296,180.0,top
C407,47.994192,-38.337096,180.0,top
C501,147.993992,-28.278696,90.0,top
C502,146.825592,-28.278696,90.0,top
C503,143.701392,-34.882696,180.0,top
C504,143.701392,-35.924096,180.0,top
C505,144.844392,-42.248696,180.0,top
C506,146.647792,-44.941096,270.0,top
D201,116.142392,-29.878896,90.0,top
D202,116.142392,-34.984296,270.0,top
FL401,49.338992,-39.837096,270.0,top
H101,142.276404,-46.550865,0.0,top
H102,142.276404,-30.091665,0.0,top
H103,56.373604,-30.591665,0.0,top
H104,56.373604,-46.050865,0.0,top
J201,126.581792,-31.777696,180.0,top
J501,148.368992,-37.168696,90.0,top
L201,104.737792,-42.223296,270.0,top
Q501,132.256892,-44.102896,270.0,top
Q502,136.426792,-44.076096,270.0,top
R201,124.829192,-37.117896,0.0,top
R202,128.258192,-37.117896,180.0,top
R203,118.325392,-43.344896,180.0,top
R204,115.862992,-43.747296,90.0,top
R205,119.290592,-41.490696,90.0,top
R206,112.661192,-41.803496,270.0,top
R207,117.869592,-32.444296,0.0,top
R208,114.262792,-32.444296,0.0,top
R209,106.236392,-39.200696,180.0,top
R301,84.239992,-39.911896,90.0,top
R302,81.826992,-45.347496,225.0,top
R304,65.697992,-46.160296,0.0,top
R305,65.697992,-44.585496,0.0,top
R306,67.069592,-36.457496,270.0,top
R401,61.329192,-40.038896,0.0,top
R501,132.296792,-47.608096,0.0,top
R502,136.411592,-47.557296,180.0,top
R503,135.547992,-33.866696,0.0,top
R504,135.547992,-35.847896,0.0,top
R505,146.012792,-39.708696,180.0,top
SW301,92.774392,-30.234496,90.0,top
U201,116.091592,-40.140496,180.0,top
U202,124.894491,-40.382496,180.0,top
U203,107.506392,-41.816896,180.0,top
U301,76.645392,-39.970296,135.0,top
U401,57.29036,-39.079633,0.0,top
Y301,88.278592,-46.541296,0.0,top
